rule_id,department_id,rule_name,required_course_count,required_credits,parent_rule_id,hint
10101,101,GraduationRequirements,,,,必修:缺{Required}\n群修:缺{PartiallyRequired}
10102,101,Required,,,10101,{missing_courses}
10103,101,PartiallyRequired,,,10101,{PartiallyRequired_A}、{PartiallyRequired_B}
10104,101,PartiallyRequired_A,0,6,10103,A群{missing_credits}學分
10105,101,PartiallyRequired_B,0,9,10103,B群{missing_credits}學分
10201,102,GraduationRequirements,,,,必修:缺{Required}\n群修:缺{PartiallyRequired}
10202,102,Required,,,10201,{missing_courses}
10203,102,PartiallyRequired_A,7,,10201,A群{missing_credits}學分
10204,102,PartiallyRequired_B,2,,10201,B群{missing_credits}學分
70101,701,Required,,,,必修:缺{missing_courses}
70201,702,Required,,,,必修:缺{missing_courses}
70301,703,GraduationRequirements,,,,必修:缺{Required}\n群修:缺{PartiallyRequired}
70302,703,Required,,,70301,{missing_courses}
70303,703,PartiallyRequired,,,70301,{PartiallyRequired_A}、{PartiallyRequired_BCDE}
70304,703,PartiallyRequired_A,2,,70303,A群{missing_course_count}門
70305,703,PartiallyRequired_BCDE,3,,70303,{PartiallyRequired_B}、{PartiallyRequired_C}、{PartiallyRequired_D}、{PartiallyRequired_E}
70306,703,PartiallyRequired_B,1,,70305,B群{missing_course_count}門
70307,703,PartiallyRequired_C,1,,70305,C群{missing_course_count}門
70308,703,PartiallyRequired_D,1,,70305,D群{missing_course_count}門
70309,703,PartiallyRequired_E,1,,70305,E群{missing_course_count}門
