course_id,course_name,course_type,teacher_name,department_id,credits
000217041,個體經濟學,R,黃柏鈞,208,3
000219031,經濟學,R,王信實,208,3
000219511,經濟學,R,吳文傑,301,3
000219561,經濟學,R,鄭鴻章,301,3
000221011,財政學,R,陳國樑,205,3
000226001,政治學,R,周家瑜,202,3
000226021,政治學,R,韋洪武,202,3
000228031,貨幣銀行學,P,蕭明福,208,3
000314031,初級會計學（一）,R,陳宇紳,303,3
000314041,初級會計學（一）,R,詹凌菁,303,3
000314131,初級會計學（一）,R,林禹銘,303,3
000323011,中級會計學（一）,R,潘健民,303,3
000323021,中級會計學（一）,R,陳漢鐘,303,3
000347111,財務管理,E,郭維裕,307,3
000347121,財務管理,E,林基煌、屠美亞,307,3
000350011,行銷管理,R,朱怡亭、陳姿伃,305,3
000351071,投資學,R,張元晨,307,3
000357021,多媒體與程式設計軟體,E,張瑞岩,306,3
000359031,統計學（一）,R,張育瑋,304,3
000359051,統計學（一）,R,楊素芬,304,3
000359081,統計學（一）,R,周珮婷,304,3
000361031,企業倫理與社會責任,R,譚丹琪、蘇威傑,305,1
000604001,商事法,R,鄭婷嫻,601,2
000713011,微積分甲,R,楊南屏,701,3
031004021,國文－古典詩選讀,GC,侯雅文,101,3
031004041,國文－古典詩選讀,GC,陳英傑,101,3
031004051,國文－古典詩選讀,GC,呂昭明,101,3
031004061,國文－古典詩選讀,GC,吳慕櫻,101,3
031004081,國文－古典詩選讀,GC,周玉芬,101,3
031008011,國文－古典小說選讀,GC,高振宏,101,3
031009011,國文－古典戲曲選讀,GC,蔡欣欣,101,3
031009021,國文－古典戲曲選讀,GC,侯雲舒,101,3
031013011,國文－臺灣文學選讀,GC,林妤,101,3
031014171,國文－中國思想名作選讀,GC,林啓屏,101,3
031017101,國文－中國語言文字名作選讀,GC,謝忠晟,101,3
031017111,國文－中國語言文字名作選讀,GC,洪燕梅,101,3
031023011,國文－臺灣語言與文化選讀,GC,李天群,101,3
031023021,國文－臺灣語言與文化選讀,GC,李天群,101,3
031031011,國文,GC,古育安,101,3
031031031,國文,GC,黃庭頎,101,3
031226001,進階國文—書法名作欣賞與臨摹,GC,黃庭頎,101,3
032001041,大學英文（一）,GF,賴宇彤,5T1,3
032001051,大學英文（一）,GF,毛佩琦,5T1,3
032001071,大學英文（一）,GF,林翰儀,5T1,3
032001221,大學英文（一）,GF,金嘉炘,5T1,3
032001251,大學英文（一）,GF,李寶莉,5T1,3
032001271,大學英文（一）,GF,陳綉諭,5T1,3
032001291,大學英文（一）,GF,毛佩琦,5T1,3
032001301,大學英文（一）,GF,陳雅莉,5T1,3
032001421,大學英文（一）,GF,黃杏妃,5T1,3
032001441,大學英文（一）,GF,陳綉諭,5T1,3
